ocel_id;ocel_time;ocel_changed_field;Amount of Handling Units;Status;Weight
cr5;2023-05-30 11:03:35;;6;empty
cr7;2023-05-30 11:21:16;;6;empty
cr8;2023-05-30 11:21:16;;6;empty
cr9;2023-05-30 11:21:16;;6;empty
cr10;2023-05-30 13:18:24;;2;empty
cr5;2023-05-30 13:59:32;Status;;full
cr5;2023-05-30 15:11:28;Weight;;;1230.0
cr14;2023-05-30 15:19:18;;1;empty
cr13;2023-05-30 15:19:18;;6;empty
cr10;2023-05-30 15:19:42;Status;;full
cr14;2023-05-30 15:40:09;Status;;full
cr7;2023-05-30 15:45:10;Status;;full
cr8;2023-05-30 15:46:02;Status;;full
cr9;2023-05-30 15:53:53;Status;;full
cr13;2023-05-30 15:55:40;Status;;full
cr12;2023-05-30 15:59:12;;6;empty
cr10;2023-05-30 16:59:34;Weight;;;450.0
cr11;2023-05-30 17:02:52;;6;empty
cr13;2023-05-30 17:09:25;Weight;;;1210.0
cr14;2023-05-30 17:15:01;Weight;;;180.0
cr7;2023-05-30 17:18:29;Weight;;;1190.0
cr8;2023-05-30 17:25:58;Weight;;;1210.0
cr9;2023-05-30 17:47:41;Weight;;;1120.0
cr11;2023-05-31 07:54:44;Status;;full
cr12;2023-05-31 09:57:49;Status;;full
cr11;2023-05-31 10:04:31;Weight;;;1180.0
cr12;2023-05-31 11:38:20;Weight;;;1160.0
cr29;2023-05-31 16:24:10;;6;empty
cr29;2023-05-31 18:29:12;Status;;full
cr29;2023-06-01 07:48:37;Weight;;;1170.0
cr37;2023-06-01 09:08:31;;6;empty
cr37;2023-06-01 09:44:27;Status;;full
cr37;2023-06-01 11:11:58;Weight;;;1210.0
cr42;2023-06-01 12:25:58;;1;empty
cr42;2023-06-01 13:53:18;Status;;full
cr42;2023-06-01 14:58:30;Weight;;;180.0
cr1;2023-06-01 19:11:37;;6;empty
cr36;2023-06-01 22:35:34;;6;empty
cr6;2023-06-02 01:10:46;;1;empty
cr6;2023-06-02 08:09:42;Status;;full
cr6;2023-06-02 08:38:03;Weight;;;200.0
cr36;2023-06-02 10:03:41;Status;;full
cr1;2023-06-02 10:04:52;Status;;full
cr1;2023-06-02 10:19:24;Weight;;;1140.0
cr36;2023-06-02 10:23:17;Weight;;;1230.0
cr43;2023-06-02 13:38:34;;6;empty
cr43;2023-06-02 16:03:59;Status;;full
cr43;2023-06-02 16:20:22;Weight;;;1230.0
cr27;2023-06-02 22:26:43;;6;empty
cr30;2023-06-02 23:20:58;;1;empty
cr45;2023-06-03 00:20:08;;5;empty
cr3;2023-06-03 03:38:58;;6;empty
cr35;2023-06-03 09:09:05;;6;empty
cr31;2023-06-03 12:15:01;;6;empty
cr30;2023-06-05 10:14:42;Status;;full
cr35;2023-06-05 10:46:37;Status;;full
cr45;2023-06-05 10:50:05;Status;;full
cr31;2023-06-05 10:52:22;Status;;full
cr27;2023-06-05 10:54:42;Status;;full
cr3;2023-06-05 10:55:54;Status;;full
cr17;2023-06-05 10:59:14;;6;empty
cr4;2023-06-05 11:51:23;;6;empty
